วันที่,เวลา,ประเภทมูลฝอย,จุดกำเนิด_หมวดหมู่,น้ำหนัก_กก,ผู้บันทึก
2022-02-17,10:30:00,มูลฝอยรีไซเคิล,ตลับหมึกเครื่องพิมพ์,500.0,นางสุดาวรรณ จุลสุข
2022-02-17,10:30:00,มูลฝอยรีไซเคิล,ตลับหมึกเครื่องพิมพ์,60.0,นางสุดาวรรณ จุลสุข
2022-03-30,10:30:00,มูลฝอยรีไซเคิล,ตลับหมึกเครื่องพิมพ์,50.0,นางสุดาวรรณ จุลสุข
2022-04-20,10:30:00,มูลฝอยรีไซเคิล,กระดาษกล่อง,901.0,นางสุดาวรรณ จุลสุข
2022-04-20,10:30:00,มูลฝอยรีไซเคิล,เศษกระดาษ จับจ๊๊ว,401.0,นางสุดาวรรณ จุลสุข
2022-04-20,10:30:00,มูลฝอยรีไซเคิล,พลาสติกรวม,542.0,นางสุดาวรรณ จุลสุข
2022-04-20,10:30:00,มูลฝอยรีไซเคิล,เหล็ก,33.0,นางสุดาวรรณ จุลสุข
2022-04-20,10:30:00,มูลฝอยรีไซเคิล,อลูมิเนียม,67.0,นางสุดาวรรณ จุลสุข
2022-04-20,10:30:00,มูลฝอยรีไซเคิล,สแตนเลส,4.0,นางสุดาวรรณ จุลสุข
2022-04-20,10:30:00,มูลฝอยรีไซเคิล,ขวดแก้ว,26.0,นางสุดาวรรณ จุลสุข
2022-05-05,10:40:00,มูลฝอยรีไซเคิล,ตลับหมึกเครื่องพิมพ์,9.0,นางสุดาวรรณ จุลสุข
2022-06-08,11:30:00,มูลฝอยรีไซเคิล,กระดาษกล่อง,361.0,นางสุดาวรรณ จุลสุข
2022-06-08,11:30:00,มูลฝอยรีไซเคิล,เศษกระดาษ จับจ๊๊ว,239.0,นางสุดาวรรณ จุลสุข
2022-06-08,11:30:00,มูลฝอยรีไซเคิล,พลาสติกรวม,125.0,นางสุดาวรรณ จุลสุข
2022-06-08,11:30:00,มูลฝอยรีไซเคิล,เหล็ก,269.0,นางสุดาวรรณ จุลสุข
2022-06-08,11:30:00,มูลฝอยรีไซเคิล,อลูมิเนียม,407.0,นางสุดาวรรณ จุลสุข
2022-06-08,11:30:00,มูลฝอยรีไซเคิล,สแตนเลส,37.0,นางสุดาวรรณ จุลสุข
2022-06-08,11:30:00,มูลฝอยรีไซเคิล,ขวดแก้ว,16.0,นางสุดาวรรณ จุลสุข
2022-06-08,11:30:00,มูลฝอยรีไซเคิล,วัสดุอื่นๆ,165.0,นางสุดาวรรณ จุลสุข
2022-06-20,11:30:00,มูลฝอยรีไซเคิล,เหล็ก,56.0,นางสุดาวรรณ จุลสุข
2022-06-20,11:30:00,มูลฝอยรีไซเคิล,อลูมิเนียม,333.0,นางสุดาวรรณ จุลสุข
2022-06-20,11:30:00,มูลฝอยรีไซเคิล,ทองแดง,10.0,นางสุดาวรรณ จุลสุข
2022-06-20,11:30:00,มูลฝอยรีไซเคิล,สังกะสี,9.0,นางสุดาวรรณ จุลสุข
2022-08-05,11:30:00,มูลฝอยรีไซเคิล,กระดาษกล่อง,573.0,นางสุดาวรรณ จุลสุข
2022-08-05,11:30:00,มูลฝอยรีไซเคิล,เศษกระดาษ จับจ๊๊ว,301.0,นางสุดาวรรณ จุลสุข
2022-08-05,11:30:00,มูลฝอยรีไซเคิล,ขวดพลาสติก,9.0,นางสุดาวรรณ จุลสุข
2022-08-05,11:30:00,มูลฝอยรีไซเคิล,พลาสติกรวม,229.0,นางสุดาวรรณ จุลสุข
2022-08-05,11:30:00,มูลฝอยรีไซเคิล,อลูมิเนียม,9.0,นางสุดาวรรณ จุลสุข
2022-08-05,11:30:00,มูลฝอยรีไซเคิล,ขวดแก้ว,34.0,นางสุดาวรรณ จุลสุข
2022-10-15,16:30:00,มูลฝอยทั่วไป,บ้านพักเจ้าหน้าที่ หน้าห้องซ่อมบำรุง,2514.0,นายเจต  ทองแก้ว
2022-10-15,16:30:00,มูลฝอยทั่วไป,จุดพัก ใต้บันได ATM,2310.0,นายเจต  ทองแก้ว
